Longitude	Latitude	Altitude	Fix	Time	Date	Speed			
-1.353445	51.822655	131	3D+	13:24:58	03/25/2003	3
-1.353415	51.822648	132	3D+	13:24:59	03/25/2003	7
-1.353357	51.822629	132	3D+	13:25:00	03/25/2003	15
-1.353298	51.822597	132	3D+	13:25:01	03/25/2003	19
-1.353194	51.822547	133	3D+	13:25:02	03/25/2003	29
-1.353077	51.82249	133	3D+	13:25:03	03/25/2003	33
-1.352959	51.822452	134	3D+	13:25:04	03/25/2003	30
-1.352857	51.822434	134	3D+	13:25:05	03/25/2003	19
-1.352742	51.82246	134	3D+	13:25:06	03/25/2003	22
-1.352642	51.822526	134	3D+	13:25:07	03/25/2003	30
-1.352559	51.822648	134	3D+	13:25:08	03/25/2003	44
-1.352534	51.822794	136	3D+	13:25:09	03/25/2003	51
-1.352553	51.822954	136	3D+	13:25:10	03/25/2003	54
-1.352544	51.823119	136	3D+	13:25:11	03/25/2003	59
-1.352519	51.823285	137	3D+	13:25:12	03/25/2003	56
-1.352451	51.823427	138	3D+	13:25:13	03/25/2003	50
-1.352296	51.823574	139	3D+	13:25:14	03/25/2003	62
-1.352111	51.823728	140	3D+	13:25:15	03/25/2003	66
-1.351912	51.823863	141	3D+	13:25:16	03/25/2003	66
-1.351728	51.824017	143	3D+	13:25:17	03/25/2003	66
-1.351573	51.824177	144	3D+	13:25:18	03/25/2003	66
-1.351447	51.824337	146	3D+	13:25:19	03/25/2003	67
-1.351306	51.82451	147	3D+	13:25:20	03/25/2003	68
-1.351195	51.824677	148	3D+	13:25:21	03/25/2003	67
-1.351142	51.824856	149	3D+	13:25:22	03/25/2003	68
-1.35106	51.82504	150	3D+	13:25:23	03/25/2003	72
-1.351023	51.825239	151	3D+	13:25:24	03/25/2003	74
-1.351057	51.825424	151	3D+	13:25:25	03/25/2003	72
-1.351149	51.825595	151	3D+	13:25:26	03/25/2003	70
-1.351212	51.825773	152	3D+	13:25:27	03/25/2003	70
-1.351261	51.825957	153	3D+	13:25:28	03/25/2003	71
-1.351324	51.826128	154	3D+	13:25:29	03/25/2003	68
-1.351401	51.826287	154	3D+	13:25:30	03/25/2003	65
-1.351522	51.826439	155	3D+	13:25:31	03/25/2003	63
-1.351685	51.826557	156	3D+	13:25:32	03/25/2003	63
-1.351905	51.826645	156	3D+	13:25:33	03/25/2003	62
-1.352124	51.8267	156	3D+	13:25:34	03/25/2003	58
-1.352328	51.82671	157	3D+	13:25:35	03/25/2003	52
-1.352545	51.826708	157	3D+	13:25:36	03/25/2003	55
-1.352733	51.826698	158	3D+	13:25:37	03/25/2003	48
-1.352892	51.826664	158	3D+	13:25:38	03/25/2003	43
-1.352991	51.826598	159	3D+	13:25:39	03/25/2003	33
-1.353017	51.826501	160	3D+	13:25:40	03/25/2003	33
-1.352985	51.826387	160	3D+	13:25:41	03/25/2003	38
-1.352865	51.826273	160	3D+	13:25:42	03/25/2003	42
-1.352689	51.826191	160	3D+	13:25:43	03/25/2003	41
-1.352543	51.82616	160	3D+	13:25:44	03/25/2003	25
-1.35237	51.8262	161	3D+	13:25:45	03/25/2003	26
-1.352241	51.826284	161	3D+	13:25:46	03/25/2003	30
-1.352144	51.826438	162	3D+	13:25:47	03/25/2003	52
-1.352006	51.826645	161	3D+	13:25:48	03/25/2003	71
-1.351852	51.826844	162	3D+	13:25:49	03/25/2003	74
-1.351684	51.827046	161	3D+	13:25:50	03/25/2003	74
-1.351472	51.827226	161	3D+	13:25:51	03/25/2003	73
-1.351274	51.827396	160	3D+	13:25:52	03/25/2003	71
-1.351105	51.827576	161	3D+	13:25:53	03/25/2003	69
-1.350877	51.827726	161	3D+	13:25:54	03/25/2003	70
-1.350679	51.827881	161	3D+	13:25:55	03/25/2003	68
-1.350465	51.827999	161	3D+	13:25:56	03/25/2003	59
-1.350207	51.828104	161	3D+	13:25:57	03/25/2003	67
-1.349889	51.828165	161	3D+	13:25:58	03/25/2003	71
-1.349587	51.828252	161	3D+	13:25:59	03/25/2003	72
-1.349344	51.82837	161	3D+	13:26:00	03/25/2003	70
-1.349086	51.828475	160	3D+	13:26:01	03/25/2003	68
-1.348843	51.82858	160	3D+	13:26:02	03/25/2003	67
-1.34857	51.828672	161	3D+	13:26:03	03/25/2003	71
-1.348281	51.828733	161	3D+	13:26:04	03/25/2003	70
-1.347992	51.828761	161	3D+	13:26:05	03/25/2003	69
-1.347731	51.828771	160	3D+	13:26:06	03/25/2003	62
