Longitude	Latitude	Altitude	Fix	Time	Date	Speed 	
-1.353461	51.822684	127	3D+	15:56:48	03/25/2003	0
-1.353476	51.822691	127	3D+	15:56:53	03/25/2003	1
-1.353476	51.822697	128	3D+	15:56:54	03/25/2003	4
-1.353446	51.822684	127	3D+	15:56:57	03/25/2003	14
-1.353417	51.822678	128	3D+	15:56:58	03/25/2003	6
-1.353417	51.822685	127	3D+	15:56:59	03/25/2003	4
-1.353446	51.822684	127	3D+	15:57:02	03/25/2003	0
-1.353446	51.822684	127	3D+	15:57:03	03/25/2003	0
-1.353432	51.822678	128	3D+	15:57:04	03/25/2003	0
-1.35336	51.822704	128	3D+	15:57:07	03/25/2003	20
-1.353273	51.822717	128	3D+	15:57:08	03/25/2003	21
-1.353172	51.822744	129	3D+	15:57:09	03/25/2003	28
-1.353027	51.822751	129	3D+	15:57:10	03/25/2003	35
-1.352852	51.822721	129	3D+	15:57:11	03/25/2003	42
-1.352662	51.822689	131	3D+	15:57:12	03/25/2003	44
-1.352444	51.822672	131	3D+	15:57:13	03/25/2003	51
-1.352241	51.822667	131	3D+	15:57:14	03/25/2003	49
-1.352067	51.822662	132	3D+	15:57:15	03/25/2003	40
-1.351936	51.822669	133	3D+	15:57:16	03/25/2003	32
-1.351806	51.822701	134	3D+	15:57:17	03/25/2003	31
-1.351678	51.822766	134	3D+	15:57:18	03/25/2003	34
-1.351594	51.822882	134	3D+	15:57:19	03/25/2003	42
-1.35154	51.823036	135	3D+	15:57:20	03/25/2003	54
-1.351472	51.823189	135	3D+	15:57:21	03/25/2003	56
-1.351375	51.823343	136	3D+	15:57:22	03/25/2003	57
-1.351263	51.823485	136	3D+	15:57:23	03/25/2003	58
-1.351152	51.823639	137	3D+	15:57:24	03/25/2003	59
-1.351069	51.823799	138	3D+	15:57:25	03/25/2003	58
-1.350972	51.823953	139	3D+	15:57:26	03/25/2003	58
-1.350934	51.824113	139	3D+	15:57:27	03/25/2003	59
-1.35088	51.82428	139	3D+	15:57:28	03/25/2003	62
-1.350798	51.824446	140	3D+	15:57:29	03/25/2003	61
-1.350671	51.824581	141	3D+	15:57:30	03/25/2003	59
-1.35053	51.82471	141	3D+	15:57:31	03/25/2003	59
-1.35036	51.824838	143	3D+	15:57:32	03/25/2003	62
-1.350203	51.824948	143	3D+	15:57:33	03/25/2003	57
-1.350061	51.825038	144	3D+	15:57:34	03/25/2003	50
-1.349903	51.825116	145	3D+	15:57:35	03/25/2003	48
-1.349715	51.825149	146	3D+	15:57:36	03/25/2003	47
-1.349571	51.825174	147	3D+	15:57:37	03/25/2003	41
-1.349455	51.825175	147	3D+	15:57:38	03/25/2003	31
-1.349414	51.825277	149	3D+	15:57:45	03/25/2003	27
-1.349588	51.825275	149	3D+	15:57:46	03/25/2003	28
-1.349703	51.825248	149	3D+	15:57:47	03/25/2003	15
-1.349746	51.825241	149	3D+	15:57:48	03/25/2003	6
-1.349762	51.82526	149	3D+	15:57:49	03/25/2003	12
-1.349791	51.825285	149	3D+	15:57:50	03/25/2003	15
-1.349822	51.825335	150	3D+	15:57:51	03/25/2003	23
-1.349882	51.82543	151	3D+	15:57:52	03/25/2003	34
-1.349986	51.825517	152	3D+	15:57:53	03/25/2003	39
-1.350105	51.825593	152	3D+	15:57:54	03/25/2003	35
-1.350294	51.825641	152	3D+	15:57:55	03/25/2003	39
-1.350469	51.825672	152	3D+	15:57:56	03/25/2003	33
-1.350629	51.82567	152	3D+	15:57:57	03/25/2003	30
-1.350773	51.825642	154	3D+	15:57:58	03/25/2003	27
-1.350873	51.825588	154	3D+	15:57:59	03/25/2003	23
-1.350899	51.825516	156	3D+	15:58:00	03/25/2003	17
-1.350824	51.825433	157	3D+	15:58:01	03/25/2003	29
-1.350691	51.82535	158	3D+	15:58:02	03/25/2003	35
-1.35053	51.825313	158	3D+	15:58:03	03/25/2003	34
-1.350297	51.825281	160	3D+	15:58:04	03/25/2003	49
-1.350021	51.825296	161	3D+	15:58:05	03/25/2003	59
-1.349746	51.825323	162	3D+	15:58:06	03/25/2003	61
-1.349501	51.825369	164	3D+	15:58:07	03/25/2003	60
-1.349255	51.825415	165	3D+	15:58:08	03/25/2003	57
-1.349024	51.825461	166	3D+	15:58:09	03/25/2003	56
-1.348807	51.8255	167	3D+	15:58:10	03/25/2003	50
-1.348604	51.825508	168	3D+	15:58:11	03/25/2003	44
-1.3484	51.825489	170	3D+	15:58:12	03/25/2003	44
-1.34821	51.825452	170	3D+	15:58:13	03/25/2003	40
-1.348034	51.825388	172	3D+	15:58:14	03/25/2003	42
-1.347886	51.825292	173	3D+	15:58:15	03/25/2003	41
