Longitude	Latitude	Altitude	Fix	Time	Date	Speed	
-1.353401	51.82265	130	3D+	13:38:28	04/08/03	0
-1.353415	51.822637	130	3D+	13:38:29	04/08/03	4
-1.353444	51.822642	131	3D+	13:38:30	04/08/03	9
-1.353517	51.822636	130	3D+	13:38:31	04/08/03	14
-1.353632	51.822615	131	3D+	13:38:32	04/08/03	29
-1.353806	51.8226	131	3D+	13:38:33	04/08/03	39
-1.353995	51.822611	131	3D+	13:38:34	04/08/03	41
-1.354169	51.822634	132	3D+	13:38:35	04/08/03	39
-1.354287	51.822672	131	3D+	13:38:36	04/08/03	28
-1.354347	51.822741	131	3D+	13:38:37	04/08/03	24
-1.354364	51.822849	132	3D+	13:38:38	04/08/03	33
-1.354325	51.822977	132	3D+	13:38:39	04/08/03	44
-1.354241	51.823106	133	3D+	13:38:40	04/08/03	44
-1.354128	51.823203	133	3D+	13:38:41	04/08/03	40
-1.35397	51.823255	133	3D+	13:38:42	04/08/03	36
-1.353912	51.823261	134	3D+	13:38:43	04/08/03	10
-1.353867	51.823204	134	3D+	13:38:44	04/08/03	12
-1.353835	51.823102	134	3D+	13:38:45	04/08/03	31
-1.35383	51.822955	134	3D+	13:38:46	04/08/03	44
-1.353796	51.822788	135	3D+	13:38:47	04/08/03	55
-1.353747	51.822603	135	3D+	13:38:48	04/08/03	61
-1.353684	51.822442	136	3D+	13:38:49	04/08/03	56
-1.353607	51.822296	136	3D+	13:38:50	04/08/03	52
-1.353502	51.822188	137	3D+	13:38:51	04/08/03	43
-1.353355	51.822132	136	3D+	13:38:52	04/08/03	37
-1.353239	51.822119	137	3D+	13:38:53	04/08/03	20
-1.353152	51.822145	138	3D+	13:38:54	04/08/03	19
-1.353069	51.822254	138	3D+	13:38:55	04/08/03	35
-1.353028	51.822363	139	3D+	13:38:56	04/08/03	34
-1.353062	51.82251	139	3D+	13:38:57	04/08/03	50
-1.35311	51.822675	140	3D+	13:38:58	04/08/03	56
-1.353231	51.82284	139	3D+	13:38:59	04/08/03	64
-1.353352	51.823012	139	3D+	13:39:00	04/08/03	66
-1.353502	51.823163	140	3D+	13:39:01	04/08/03	61
-1.353664	51.823276	141	3D+	13:39:02	04/08/03	54
-1.353884	51.823351	140	3D+	13:39:03	04/08/03	56
-1.35419	51.823398	141	3D+	13:39:04	04/08/03	68
-1.354495	51.823407	142	3D+	13:39:05	04/08/03	69
-1.354741	51.823372	142	3D+	13:39:06	04/08/03	54
-1.35497	51.823292	143	3D+	13:39:07	04/08/03	57
-1.355141	51.823188	143	3D+	13:39:08	04/08/03	51
-1.355253	51.823057	144	3D+	13:39:09	04/08/03	44
-1.355335	51.822909	145	3D+	13:39:10	04/08/03	49
-1.355359	51.822729	145	3D+	13:39:11	04/08/03	58
-1.355353	51.822542	146	3D+	13:39:12	04/08/03	59
-1.355261	51.822363	147	3D+	13:39:13	04/08/03	63
-1.355111	51.822223	147	3D+	13:39:14	04/08/03	53
-1.354948	51.822108	149	3D+	13:39:15	04/08/03	50
-1.354756	51.822014	149	3D+	13:39:16	04/08/03	50
-1.354579	51.821919	150	3D+	13:39:17	04/08/03	49
