Longitude	Latitude	Altitude	Fix	Time	Date	Speed
-1.353459	51.822642	131	3D+	12:57:05	05/14/2003	0
-1.353459	51.822642	131	3D+	12:57:06	05/14/2003	1
-1.353474	51.822649	131	3D+	12:57:07	05/14/2003	2
-1.353518	51.822661	131	3D+	12:57:08	05/14/2003	13
-1.353547	51.82268	130	3D+	12:57:09	05/14/2003	7
-1.353548	51.822718	131	3D+	12:57:10	05/14/2003	11
-1.35358	51.82282	131	3D+	12:57:11	05/14/2003	39
-1.353555	51.822948	131	3D+	12:57:12	05/14/2003	45
-1.353515	51.823064	131	3D+	12:57:13	05/14/2003	40
-1.353432	51.823198	132	3D+	12:57:14	05/14/2003	51
-1.353335	51.823347	132	3D+	12:57:15	05/14/2003	57
-1.353223	51.823495	132	3D+	12:57:16	05/14/2003	60
-1.35314	51.823624	132	3D+	12:57:17	05/14/2003	52
-1.353057	51.823758	133	3D+	12:57:18	05/14/2003	51
-1.353017	51.823886	133	3D+	12:57:19	05/14/2003	47
-1.353006	51.824014	133	3D+	12:57:20	05/14/2003	48
-1.353053	51.824122	134	3D+	12:57:21	05/14/2003	41
-1.353144	51.824249	134	3D+	12:57:22	05/14/2003	50
-1.353221	51.824401	135	3D+	12:57:23	05/14/2003	57
-1.353283	51.824566	136	3D+	12:57:24	05/14/2003	62
-1.353332	51.824725	136	3D+	12:57:25	05/14/2003	61
-1.35335	51.824871	137	3D+	12:57:26	05/14/2003	58
-1.353296	51.825012	138	3D+	12:57:27	05/14/2003	56
-1.353184	51.825141	138	3D+	12:57:28	05/14/2003	56
-1.353013	51.825238	138	3D+	12:57:29	05/14/2003	54
-1.352798	51.825323	138	3D+	12:57:30	05/14/2003	56
-1.35251	51.82539	139	3D+	12:57:31	05/14/2003	70
-1.352192	51.825444	139	3D+	12:57:32	05/14/2003	72
-1.351859	51.825479	140	3D+	12:57:33	05/14/2003	72
-1.351555	51.8255	141	3D+	12:57:34	05/14/2003	70
-1.351266	51.825547	142	3D+	12:57:35	05/14/2003	68
-1.350991	51.825594	143	3D+	12:57:36	05/14/2003	66
-1.350733	51.825697	144	3D+	12:57:37	05/14/2003	69
-1.350563	51.825826	145	3D+	12:57:38	05/14/2003	63
-1.350465	51.825953	147	3D+	12:57:39	05/14/2003	55
-1.350513	51.826131	148	3D+	12:57:40	05/14/2003	62
-1.350548	51.826321	149	3D+	12:57:41	05/14/2003	64
-1.350567	51.826499	150	3D+	12:57:42	05/14/2003	64
