Longitude	Latitude	Altitude	Fix	Time	Date	Speed	
-1.353446	51.822694	130	3D+	11:41:04	03/25/2003	0
-1.35346	51.822681	130	3D+	11:41:05	03/25/2003	7
-1.353488	51.822636	130	3D+	11:41:06	03/25/2003	19
-1.353514	51.822559	131	3D+	11:41:07	03/25/2003	28
-1.353498	51.822481	131	3D+	11:41:08	03/25/2003	29
-1.353452	51.82243	132	3D+	11:41:09	03/25/2003	25
-1.353321	51.822387	132	3D+	11:41:10	03/25/2003	28
-1.353131	51.822369	132	3D+	11:41:11	03/25/2003	42
-1.352899	51.822383	133	3D+	11:41:12	03/25/2003	47
-1.352696	51.822378	134	3D+	11:41:13	03/25/2003	44
-1.352506	51.822346	135	3D+	11:41:14	03/25/2003	42
-1.35233	51.822289	137	3D+	11:41:15	03/25/2003	45
-1.35214	51.822245	138	3D+	11:41:16	03/25/2003	46
-1.35195	51.822214	139	3D+	11:41:17	03/25/2003	42
-1.351717	51.822208	141	3D+	11:41:18	03/25/2003	50
-1.3515	51.822209	142	3D+	11:41:19	03/25/2003	48
-1.351341	51.822254	143	3D+	11:41:20	03/25/2003	40
-1.351227	51.822331	144	3D+	11:41:21	03/25/2003	32
-1.3512	51.8224	146	3D+	11:41:22	03/25/2003	19
-1.351318	51.822474	147	3D+	11:41:23	03/25/2003	28
-1.351509	51.822555	148	3D+	11:41:24	03/25/2003	41
-1.351699	51.822603	149	3D+	11:41:25	03/25/2003	36
-1.351945	51.822599	150	3D+	11:41:26	03/25/2003	49
-1.352206	51.822627	152	3D+	11:41:27	03/25/2003	52
-1.35244	51.822681	152	3D+	11:41:28	03/25/2003	52
-1.352645	51.822755	153	3D+	11:41:29	03/25/2003	47
-1.352851	51.822861	154	3D+	11:41:30	03/25/2003	54
-1.353014	51.822967	155	3D+	11:41:31	03/25/2003	50
-1.35309	51.823092	157	3D+	11:41:32	03/25/2003	45
-1.353079	51.823213	158	3D+	11:41:33	03/25/2003	42
-1.352995	51.82334	159	3D+	11:41:34	03/25/2003	45
-1.352809	51.823443	160	3D+	11:41:35	03/25/2003	55
-1.352624	51.823559	162	3D+	11:41:36	03/25/2003	56
-1.352439	51.82368	164	3D+	11:41:37	03/25/2003	60
-1.352268	51.823815	165	3D+	11:41:38	03/25/2003	62
-1.352156	51.823963	166	3D+	11:41:39	03/25/2003	59
-1.352059	51.824115	168	3D+	11:41:40	03/25/2003	59
-1.351962	51.824262	169	3D+	11:41:41	03/25/2003	59
-1.351835	51.824395	171	3D+	11:41:42	03/25/2003	58
-1.351649	51.824506	172	3D+	11:41:43	03/25/2003	59
