Longitude	Latitude	Altitude	Fix	Time	Date	Speed
-1.35346	51.822681	130	3D+	10:17:46	04/03/03	0
-1.35346	51.822681	130	3D+	10:17:47	04/03/03	2
-1.353475	51.822681	130	3D+	10:17:48	04/03/03	1
-1.353503	51.822661	131	3D+	10:17:49	04/03/03	7
-1.353545	51.822609	132	3D+	10:17:50	04/03/03	23
-1.35357	51.822499	132	3D+	10:17:51	04/03/03	40
-1.353566	51.822364	133	3D+	10:17:52	04/03/03	45
-1.353518	51.822217	133	3D+	10:17:53	04/03/03	51
-1.353412	51.822058	133	3D+	10:17:54	04/03/03	59
-1.353233	51.821899	134	3D+	10:17:55	04/03/03	67
-1.353068	51.821734	134	3D+	10:17:56	04/03/03	69
-1.352918	51.821549	135	3D+	10:17:57	04/03/03	71
-1.352752	51.821364	136	3D+	10:17:58	04/03/03	73
-1.352602	51.821186	136	3D+	10:17:59	04/03/03	70
-1.352394	51.821027	138	3D+	10:18:00	04/03/03	75
-1.352171	51.82088	139	3D+	10:18:01	04/03/03	72
-1.351964	51.820734	140	3D+	10:18:02	04/03/03	72
-1.351742	51.82062	141	3D+	10:18:03	04/03/03	65
-1.35158	51.820543	143	3D+	10:18:04	04/03/03	49
-1.351449	51.820517	144	3D+	10:18:05	04/03/03	37
-1.351362	51.820542	146	3D+	10:18:06	04/03/03	27
-1.351348	51.820579	148	3D+	10:18:07	04/03/03	17
-1.351437	51.820634	149	3D+	10:18:08	04/03/03	22
-1.351525	51.820696	150	3D+	10:18:09	04/03/03	24
-1.351686	51.82075	152	3D+	10:18:10	04/03/03	34
-1.351861	51.820804	153	3D+	10:18:11	04/03/03	42
-1.352094	51.820832	155	3D+	10:18:12	04/03/03	49
-1.35234	51.820828	156	3D+	10:18:13	04/03/03	51
-1.352558	51.820843	157	3D+	10:18:14	04/03/03	44
-1.352761	51.82084	159	3D+	10:18:15	04/03/03	41
-1.352949	51.820867	162	3D+	10:18:16	04/03/03	43
-1.353095	51.820889	164	3D+	10:18:17	04/03/03	36
-1.353153	51.820905	166	3D+	10:18:18	04/03/03	17
-1.353094	51.820902	169	3D+	10:18:19	04/03/03	7
-1.352963	51.820901	172	3D+	10:18:20	04/03/03	24
-1.352788	51.820887	174	3D+	10:18:21	04/03/03	32
-1.352554	51.820849	176	3D+	10:18:22	04/03/03	45
-1.352248	51.820805	179	3D+	10:18:23	04/03/03	65
-1.351943	51.8208	180	3D+	10:18:24	04/03/03	63
-1.351623	51.820795	182	3D+	10:18:25	04/03/03	67
