Longitude	Latitude	Altitude	Fix	Time	Date	Speed
-1.353474	51.822663	129	3D+	09:59:56	05/29/2003	0
-1.353473	51.822636	130	3D+	09:59:57	05/29/2003	10
-1.353458	51.822599	130	3D+	09:59:58	05/29/2003	14
-1.353427	51.82256	131	3D+	09:59:59	05/29/2003	18
-1.353382	51.822502	131	3D+	10:00:00	05/29/2003	23
-1.353278	51.822426	131	3D+	10:00:01	05/29/2003	35
-1.353159	51.822331	132	3D+	10:00:02	05/29/2003	45
-1.353026	51.82223	132	3D+	10:00:03	05/29/2003	49
-1.352849	51.822155	132	3D+	10:00:04	05/29/2003	49
-1.352703	51.822111	132	3D+	10:00:05	05/29/2003	42
-1.352558	51.822126	132	3D+	10:00:06	05/29/2003	33
-1.352501	51.822164	132	3D+	10:00:07	05/29/2003	20
-1.352532	51.822221	132	3D+	10:00:08	05/29/2003	15
-1.352664	51.822283	133	3D+	10:00:09	05/29/2003	29
-1.352796	51.822319	134	3D+	10:00:10	05/29/2003	21
-1.35297	51.82233	134	3D+	10:00:11	05/29/2003	26
-1.353142	51.822269	136	3D+	10:00:12	05/29/2003	36
-1.353415	51.822189	136	3D+	10:00:13	05/29/2003	60
-1.353717	51.822101	138	3D+	10:00:14	05/29/2003	67
-1.354005	51.822064	140	3D+	10:00:15	05/29/2003	62
-1.354294	51.822014	142	3D+	10:00:16	05/29/2003	61
-1.354582	51.821959	143	3D+	10:00:17	05/29/2003	60
-1.354841	51.821889	145	3D+	10:00:18	05/29/2003	61
-1.355099	51.821808	147	3D+	10:00:19	05/29/2003	61
-1.355313	51.821701	149	3D+	10:00:20	05/29/2003	62
-1.355527	51.821589	149	3D+	10:00:21	05/29/2003	59
-1.355755	51.821476	152	3D+	10:00:22	05/29/2003	65
-1.355969	51.821362	154	3D+	10:00:23	05/29/2003	63
-1.356198	51.821262	155	3D+	10:00:24	05/29/2003	63
-1.356427	51.821194	157	3D+	10:00:25	05/29/2003	55
-1.356716	51.821164	159	3D+	10:00:26	05/29/2003	65
-1.357035	51.821146	160	3D+	10:00:27	05/29/2003	71
-1.357368	51.821135	161	3D+	10:00:28	05/29/2003	72
-1.357672	51.821142	163	3D+	10:00:29	05/29/2003	68
-1.357991	51.821162	165	3D+	10:00:30	05/29/2003	71
-1.358297	51.821197	166	3D+	10:00:31	05/29/2003	69
-1.35856	51.821257	167	3D+	10:00:32	05/29/2003	64
-1.35875	51.82133	168	3D+	10:00:33	05/29/2003	51
-1.358898	51.821423	170	3D+	10:00:34	05/29/2003	46
-1.358973	51.821548	172	3D+	10:00:35	05/29/2003	45
-1.358991	51.821649	174	3D+	10:00:36	05/29/2003	33
-1.358936	51.82175	175	3D+	10:00:37	05/29/2003	36
-1.358822	51.821853	176	3D+	10:00:38	05/29/2003	37
-1.358708	51.82193	177	3D+	10:00:39	05/29/2003	29
-1.358535	51.821955	178	3D+	10:00:40	05/29/2003	30
-1.358404	51.82195	179	3D+	10:00:41	05/29/2003	22
-1.358286	51.821899	180	3D+	10:00:42	05/29/2003	21
-1.358211	51.821816	181	3D+	10:00:43	05/29/2003	27
-1.358237	51.821713	181	3D+	10:00:44	05/29/2003	32
-1.358334	51.821577	181	3D+	10:00:45	05/29/2003	45
-1.358475	51.821428	181	3D+	10:00:46	05/29/2003	57
-1.358732	51.821285	181	3D+	10:00:47	05/29/2003	71
-1.358988	51.821134	182	3D+	10:00:48	05/29/2003	74
-1.359231	51.820998	181	3D+	10:00:49	05/29/2003	71
-1.359517	51.820873	182	3D+	10:00:50	05/29/2003	76
-1.359848	51.820774	181	3D+	10:00:51	05/29/2003	81
-1.360165	51.8207	181	3D+	10:00:52	05/29/2003	78
-1.360454	51.820691	181	3D+	10:00:53	05/29/2003	69
-1.360758	51.820662	181	3D+	10:00:54	05/29/2003	72
-1.361047	51.820621	181	3D+	10:00:55	05/29/2003	70
-1.36135	51.820572	181	3D+	10:00:56	05/29/2003	75
-1.36161	51.820506	181	3D+	10:00:57	05/29/2003	66
-1.361824	51.820414	181	3D+	10:00:58	05/29/2003	60
-1.361965	51.820272	181	3D+	10:00:59	05/29/2003	61
-1.362018	51.820106	180	3D+	10:01:00	05/29/2003	60
-1.362013	51.819933	180	3D+	10:01:01	05/29/2003	60
-1.36195	51.819761	180	3D+	10:01:02	05/29/2003	58
-1.361799	51.819583	180	3D+	10:01:03	05/29/2003	66
-1.361678	51.819392	180	3D+	10:01:04	05/29/2003	69
-1.36157	51.819201	180	3D+	10:01:05	05/29/2003	69
-1.361492	51.81901	181	3D+	10:01:06	05/29/2003	70
-1.361399	51.818825	180	3D+	10:01:07	05/29/2003	69
-1.361278	51.818636	179	3D+	10:01:08	05/29/2003	73
-1.361142	51.818452	178	3D+	10:01:09	05/29/2003	70
-1.360992	51.818301	178	3D+	10:01:10	05/29/2003	66
-1.360815	51.818175	177	3D+	10:01:11	05/29/2003	59
-1.36061	51.818127	176	3D+	10:01:12	05/29/2003	47
-1.36048	51.818129	176	3D+	10:01:13	05/29/2003	26
-1.360409	51.818194	176	3D+	10:01:14	05/29/2003	14
-1.360413	51.818298	174	3D+	10:01:15	05/29/2003	22
-1.360475	51.818439	173	3D+	10:01:16	05/29/2003	36
-1.360596	51.81858	172	3D+	10:01:17	05/29/2003	42
-1.360789	51.818732	172	3D+	10:01:18	05/29/2003	61
-1.361026	51.818871	171	3D+	10:01:19	05/29/2003	63
-1.36132	51.818991	169	3D+	10:01:20	05/29/2003	71
-1.361612	51.819072	169	3D+	10:01:21	05/29/2003	70
-1.361918	51.819103	167	3D+	10:01:22	05/29/2003	66
-1.362265	51.819068	167	3D+	10:01:23	05/29/2003	77
-1.362613	51.819046	166	3D+	10:01:24	05/29/2003	79
-1.362962	51.819063	164	3D+	10:01:25	05/29/2003	79
-1.363312	51.819105	163	3D+	10:01:26	05/29/2003	79
-1.363662	51.81916	162	3D+	10:01:27	05/29/2003	82
-1.363997	51.819203	161	3D+	10:01:28	05/29/2003	77
-1.364275	51.819277	161	3D+	10:01:29	05/29/2003	71
-1.364524	51.819358	160	3D+	10:01:30	05/29/2003	66
-1.364716	51.819465	160	3D+	10:01:31	05/29/2003	61
-1.364807	51.819587	159	3D+	10:01:32	05/29/2003	52
-1.364796	51.819702	159	3D+	10:01:33	05/29/2003	44
-1.364654	51.819819	159	3D+	10:01:34	05/29/2003	47
-1.364468	51.819904	160	3D+	10:01:35	05/29/2003	44
-1.364223	51.819944	160	3D+	10:01:36	05/29/2003	45
-1.363947	51.819935	159	3D+	10:01:37	05/29/2003	49
-1.363699	51.819886	160	3D+	10:01:38	05/29/2003	46
-1.363435	51.819799	160	3D+	10:01:39	05/29/2003	55
-1.363171	51.819698	161	3D+	10:01:40	05/29/2003	60
-1.362906	51.819591	161	3D+	10:01:41	05/29/2003	62
-1.362685	51.819465	162	3D+	10:01:42	05/29/2003	60
-1.362506	51.819325	163	3D+	10:01:43	05/29/2003	58
-1.362385	51.819152	164	3D+	10:01:44	05/29/2003	60
-1.362306	51.818948	164	3D+	10:01:45	05/29/2003	70
-1.362184	51.818752	164	3D+	10:01:46	05/29/2003	71
-1.362076	51.818548	164	3D+	10:01:47	05/29/2003	73
-1.361926	51.818364	163	3D+	10:01:48	05/29/2003	73
-1.361761	51.818175	162	3D+	10:01:49	05/29/2003	74
-1.361596	51.817987	161	3D+	10:01:50	05/29/2003	76
-1.361445	51.817797	159	3D+	10:01:51	05/29/2003	76
-1.361295	51.817608	158	3D+	10:01:52	05/29/2003	76
-1.361159	51.817425	158	3D+	10:01:53	05/29/2003	72
-1.361052	51.817248	157	3D+	10:01:54	05/29/2003	68
-1.360975	51.81707	156	3D+	10:01:55	05/29/2003	68
-1.360955	51.81688	154	3D+	10:01:56	05/29/2003	66
-1.360992	51.816663	153	3D+	10:01:57	05/29/2003	79
-1.361029	51.81644	152	3D+	10:01:58	05/29/2003	81
-1.361007	51.816191	151	3D+	10:01:59	05/29/2003	90
-1.360971	51.815962	151	3D+	10:02:00	05/29/2003	87
-1.360908	51.815779	149	3D+	10:02:01	05/29/2003	70
-1.360788	51.81564	148	3D+	10:02:02	05/29/2003	61
-1.360611	51.815546	148	3D+	10:02:03	05/29/2003	55
-1.360421	51.815504	148	3D+	10:02:04	05/29/2003	49
-1.360291	51.815505	148	3D+	10:02:05	05/29/2003	28
-1.360192	51.815571	147	3D+	10:02:06	05/29/2003	17
-1.360122	51.815667	147	3D+	10:02:07	05/29/2003	25
-1.360082	51.815795	148	3D+	10:02:08	05/29/2003	29
-1.360087	51.815962	147	3D+	10:02:09	05/29/2003	48
-1.360107	51.816153	148	3D+	10:02:10	05/29/2003	55
-1.360171	51.816343	149	3D+	10:02:11	05/29/2003	57
-1.360263	51.81652	150	3D+	10:02:12	05/29/2003	58
-1.360399	51.816691	151	3D+	10:02:13	05/29/2003	61
-1.360592	51.816849	151	3D+	10:02:14	05/29/2003	67
-1.360785	51.816994	151	3D+	10:02:15	05/29/2003	66
-1.360992	51.817127	151	3D+	10:02:16	05/29/2003	66
-1.361198	51.817227	151	3D+	10:02:17	05/29/2003	59
-1.361417	51.817269	151	3D+	10:02:18	05/29/2003	54
-1.361649	51.817255	150	3D+	10:02:19	05/29/2003	54
-1.36185	51.817177	149	3D+	10:02:20	05/29/2003	58
-1.362484	51.816562	149	3D+	10:02:26	05/29/2003	32
-1.362525	51.816484	150	3D+	10:02:27	05/29/2003	31
-1.362639	51.81642	149	3D+	10:02:28	05/29/2003	41
-1.362769	51.816393	149	3D+	10:02:29	05/29/2003	42
-1.362928	51.816386	148	3D+	10:02:30	05/29/2003	47
-1.363118	51.816423	147	3D+	10:02:31	05/29/2003	49
-1.363309	51.816505	147	3D+	10:02:32	05/29/2003	61
-1.363501	51.8166	146	3D+	10:02:33	05/29/2003	63
-1.36365	51.816734	144	3D+	10:02:34	05/29/2003	65
-1.363785	51.816875	143	3D+	10:02:35	05/29/2003	62
-1.36392	51.817002	142	3D+	10:02:36	05/29/2003	57
-1.363998	51.817163	141	3D+	10:02:37	05/29/2003	62
-1.364104	51.817318	139	3D+	10:02:38	05/29/2003	66
-1.364226	51.81749	138	3D+	10:02:39	05/29/2003	70
-1.364303	51.817639	136	3D+	10:02:40	05/29/2003	61
-1.364351	51.817767	135	3D+	10:02:41	05/29/2003	50
-1.364341	51.817922	134	3D+	10:02:42	05/29/2003	57
-1.364317	51.818077	134	3D+	10:02:43	05/29/2003	57
-1.364278	51.818206	132	3D+	10:02:44	05/29/2003	52
-1.364137	51.818337	131	3D+	10:02:45	05/29/2003	56
-1.36401	51.818479	132	3D+	10:02:46	05/29/2003	59
-1.363928	51.818622	130	3D+	10:02:47	05/29/2003	59
-1.363918	51.818769	130	3D+	10:02:48	05/29/2003	60
-1.363952	51.818949	130	3D+	10:02:49	05/29/2003	71
-1.364001	51.819133	130	3D+	10:02:50	05/29/2003	77
-1.364065	51.819325	130	3D+	10:02:51	05/29/2003	79
-1.364129	51.819504	130	3D+	10:02:52	05/29/2003	73
-1.364063	51.819728	130	3D+	10:02:53	05/29/2003	75
-1.364025	51.819914	131	3D+	10:02:54	05/29/2003	62
