Longitude	Latitude	Altitude	Fix	Time	Date	Speed	
-1.353431	51.822658	128	3D+	09:19:45	05/30/2003	0
-1.353431	51.822671	129	3D+	09:19:46	05/30/2003	3
-1.353431	51.822663	129	3D+	09:19:47	05/30/2003	3
-1.35343	51.822644	130	3D+	09:19:48	05/30/2003	9
-1.353429	51.822606	129	3D+	09:19:49	05/30/2003	12
-1.353442	51.822554	130	3D+	09:19:50	05/30/2003	18
-1.353483	51.822476	130	3D+	09:19:51	05/30/2003	29
-1.35361	51.822352	131	3D+	09:19:52	05/30/2003	52
-1.35378	51.822235	131	3D+	09:19:53	05/30/2003	57
-1.353965	51.822124	132	3D+	09:19:54	05/30/2003	58
-1.354195	51.822037	133	3D+	09:19:55	05/30/2003	61
-1.354439	51.821969	134	3D+	09:19:56	05/30/2003	61
-1.354654	51.821877	134	3D+	09:19:57	05/30/2003	59
-1.354869	51.82179	136	3D+	09:19:58	05/30/2003	60
-1.355084	51.82171	136	3D+	09:19:59	05/30/2003	57
-1.355299	51.821649	138	3D+	09:20:00	05/30/2003	52
-1.355545	51.821632	139	3D+	09:20:01	05/30/2003	59
-1.355775	51.821595	141	3D+	09:20:02	05/30/2003	57
-1.355993	51.821591	143	3D+	09:20:03	05/30/2003	50
-1.356211	51.82162	144	3D+	09:20:04	05/30/2003	53
-1.356429	51.821661	146	3D+	09:20:05	05/30/2003	55
-1.356663	51.821714	147	3D+	09:20:06	05/30/2003	57
-1.356896	51.821774	149	3D+	09:20:07	05/30/2003	61
-1.357115	51.821815	150	3D+	09:20:08	05/30/2003	55
-1.357362	51.821836	152	3D+	09:20:09	05/30/2003	58
-1.357622	51.821806	153	3D+	09:20:10	05/30/2003	62
-1.357837	51.821757	155	3D+	09:20:11	05/30/2003	55
-1.358022	51.821646	156	3D+	09:20:12	05/30/2003	57
-1.358148	51.821508	158	3D+	09:20:13	05/30/2003	56
-1.358216	51.821353	159	3D+	09:20:14	05/30/2003	56
-1.358241	51.821223	160	3D+	09:20:15	05/30/2003	44
-1.358194	51.821114	160	3D+	09:20:16	05/30/2003	33
-1.358061	51.821037	162	3D+	09:20:17	05/30/2003	30
-1.357929	51.821012	163	3D+	09:20:18	05/30/2003	19
-1.357784	51.821019	164	3D+	09:20:19	05/30/2003	20
-1.357655	51.821064	165	3D+	09:20:20	05/30/2003	23
-1.357513	51.821161	165	3D+	09:20:21	05/30/2003	38
-1.357399	51.821263	167	3D+	09:20:22	05/30/2003	39
-1.357344	51.821377	168	3D+	09:20:23	05/30/2003	39
-1.357377	51.82148	168	3D+	09:20:24	05/30/2003	37
-1.357495	51.821554	169	3D+	09:20:25	05/30/2003	42
-1.357684	51.82159	170	3D+	09:20:26	05/30/2003	46
-1.357829	51.821594	171	3D+	09:20:27	05/30/2003	38
-1.357973	51.821554	170	3D+	09:20:28	05/30/2003	33
-1.358072	51.821463	171	3D+	09:20:29	05/30/2003	34
-1.358125	51.82132	172	3D+	09:20:30	05/30/2003	42
-1.35812	51.821141	172	3D+	09:20:31	05/30/2003	55
-1.358072	51.820981	172	3D+	09:20:32	05/30/2003	48
-1.357937	51.820841	173	3D+	09:20:33	05/30/2003	47
-1.357803	51.820733	173	3D+	09:20:34	05/30/2003	43
-1.357655	51.820652	173	3D+	09:20:35	05/30/2003	33
-1.35751	51.820628	172	3D+	09:20:36	05/30/2003	25
-1.357365	51.820636	173	3D+	09:20:37	05/30/2003	24
-1.357192	51.820695	173	3D+	09:20:38	05/30/2003	38
-1.357079	51.820792	173	3D+	09:20:39	05/30/2003	40
-1.356966	51.820896	173	3D+	09:20:40	05/30/2003	40
-1.356897	51.821004	174	3D+	09:20:41	05/30/2003	40
-1.356871	51.8211	174	3D+	09:20:42	05/30/2003	37
-1.356916	51.821182	175	3D+	09:20:43	05/30/2003	30
-1.35702	51.821244	176	3D+	09:20:44	05/30/2003	33
-1.357195	51.821286	177	3D+	09:20:45	05/30/2003	43
-1.357384	51.821302	178	3D+	09:20:46	05/30/2003	43
-1.357514	51.821318	179	3D+	09:20:47	05/30/2003	29
-1.357616	51.821328	181	3D+	09:20:48	05/30/2003	23
-1.357688	51.821319	183	3D+	09:20:49	05/30/2003	15
-1.357685	51.821253	185	3D+	09:20:50	05/30/2003	14
-1.357667	51.821149	187	3D+	09:20:51	05/30/2003	28
