Longitude	Latitude
-1.353432	51.822685
-1.353417	51.822665
-1.353444	51.822602
-1.353456	51.822524
-1.353424	51.822435
-1.353364	51.822346
-1.353288	51.82225
-1.353256	51.822135
-1.353223	51.822026
-1.353235	51.821941
-1.353292	51.821896
-1.353408	51.821894
-1.353597	51.82193
-1.35383	51.821965
-1.354049	51.822019
-1.354239	51.82206
-1.3544	51.822121
-1.354503	51.822189
-1.354579	51.822308
-1.354611	51.822415
-1.35457	51.822534
-1.354486	51.822636
-1.354328	51.822707
-1.354112	51.822771
-1.353851	51.822772
-1.353574	51.822754
-1.353312	51.822723
-1.353078	51.822667
-1.352872	51.822592
-1.352681	51.822503
-1.352504	51.822408
-1.352399	51.822293
-1.352366	51.822184
-1.35245	51.822079
-1.35249	51.821963
-1.352486	51.821846
-1.352511	51.821729
-1.352537	51.82162
-1.352533	51.821503
-1.352544	51.821381
-1.352569	51.821264
-1.35258	51.821142
-1.352561	51.821005
-1.352527	51.82087
-1.352407	51.820736
-1.35223	51.82064
-1.352038	51.820545
-1.351847	51.820456
-1.35167	51.820361
-1.351536	51.820264
-1.351489	51.820155
-1.351529	51.820058
-1.351672	51.819997
-1.351859	51.819943
-1.352032	51.819901
-1.352205	51.819891
-1.352379	51.819907
-1.35257	51.819993
-1.352732	51.820074
-1.352907	51.820128
-1.353068	51.82017
-1.35317	51.820192
-1.353241	51.820158
-1.353354	51.82009
-1.353497	51.820017
-1.353596	51.819931
-1.353694	51.819821
-1.353777	51.819716
-1.353773	51.819581
-1.353697	51.819453
-1.353563	51.819345
-1.353357	51.81925
-1.353049	51.819151
-1.35277	51.819045
-1.352505	51.81892
-1.35227	51.818795
-1.35202	51.818683
-1.351727	51.818603
-1.351421	51.818531
-1.351143	51.818433
-1.350907	51.818303
-1.3507	51.818172
-1.350508	51.818034
-1.35033	51.81789
-1.350152	51.817746
-1.349959	51.817602
-1.349752	51.817471
-1.349488	51.817354
-1.349252	51.817229
-1.349017	51.817098
-1.348824	51.816954
-1.348689	51.816803
-1.348568	51.816644
-1.348448	51.816493
-1.348298	51.816342
-1.348106	51.816198
-1.347885	51.816073
-1.347649	51.81596
-1.347414	51.815848
-1.347164	51.815748
-1.346872	51.815669
-1.34658	51.8156
-1.346273	51.815534
-1.345997	51.815492
-1.345734	51.81543
-1.345484	51.815343
-1.345264	51.81525
-1.345043	51.815138
-1.344866	51.815025
-1.344718	51.814924
-1.344656	51.814802
-1.344595	51.814688
-1.344562	51.814572
-1.3445	51.814456
-1.344395	51.814346
-1.344261	51.814237
-1.344097	51.81412
-1.34392	51.814006
-1.343699	51.813897
-1.343448	51.813789
-1.343241	51.813662
-1.343034	51.813535
-1.342871	51.813397
-1.342649	51.813264
-1.342414	51.813146
-1.342135	51.813035
-1.341842	51.812923
-1.341563	51.812812
-1.341241	51.812702
-1.340934	51.812585
-1.340654	51.81245
-1.340375	51.812314
-1.340082	51.812184
-1.33976	51.812074
-1.339466	51.81195
-1.339173	51.811827
-1.338908	51.811702
-1.338687	51.811559
-1.338465	51.811414
-1.338257	51.811263
-1.338035	51.8111
-1.337827	51.810917
-1.33759	51.810747
-1.337339	51.810597
-1.33706	51.810473
-1.336767	51.810361
-1.336502	51.810254
-1.336253	51.810155
-1.336076	51.810047
-1.33597	51.809926
-1.335937	51.809792
-1.335976	51.809644
-1.336046	51.80954
-1.336174	51.809455
-1.336331	51.809401
-1.336532	51.809345
-1.336733	51.809271
-1.33689	51.809216
-1.337047	51.80913
-1.33716	51.809037
-1.3372	51.808933
-1.33711	51.80883
-1.336932	51.808708
-1.336724	51.808561
-1.336487	51.808396
-1.33625	51.808244
-1.335984	51.808074
-1.335733	51.80791
-1.335452	51.807747
-1.335158	51.807598
-1.334864	51.807461
-1.334556	51.807329
-1.334248	51.807212
-1.33394	51.807099
-1.333676	51.806993
-1.333397	51.806893
-1.333133	51.806781
-1.332883	51.806656
-1.332647	51.806512
-1.332482	51.806353
-1.332362	51.806189
-1.332299	51.806042
-1.332223	51.80591
-1.332162	51.805777
-1.332056	51.80562
-1.33195	51.805456
-1.331815	51.805299
-1.331723	51.805141
-1.331574	51.804984
-1.331396	51.80484
-1.331175	51.804715
-1.330983	51.804584
-1.330805	51.804458
-1.330642	51.804332
-1.330552	51.804213
-1.330489	51.804066
-1.330427	51.803914
-1.330379	51.803767
-1.330375	51.803612
-1.330356	51.803471
-1.330307	51.803317
-1.330216	51.803163
-1.33011	51.802999
-1.330032	51.802833
-1.329969	51.802668
-1.329906	51.802489
-1.329799	51.802305
-1.329663	51.802108
-1.329527	51.801907
-1.329434	51.80171
-1.329327	51.801507
-1.329206	51.801318
-1.329099	51.801134
-1.329021	51.800962
-1.328945	51.80081
-1.328882	51.800658
-1.32882	51.800505
-1.328787	51.800365
-1.328725	51.800219
-1.328648	51.800079
-1.328543	51.79994
-1.328423	51.799801
-1.328274	51.799657
-1.32811	51.7995
-1.327932	51.799356
-1.327797	51.799205
-1.327662	51.799053
-1.327557	51.798902
-1.327508	51.798736
-1.327519	51.798596
-1.327573	51.798468
-1.327657	51.798352
-1.327726	51.798241
-1.327795	51.798118
-1.32779	51.797971
-1.327728	51.797824
-1.327622	51.797671
-1.327472	51.797518
-1.327279	51.797378
-1.327058	51.797259
-1.32688	51.797113
-1.326731	51.796968
-1.32661	51.796815
-1.326475	51.796674
-1.326297	51.796534
-1.326134	51.796401
-1.32597	51.796256
-1.325821	51.796105
-1.325613	51.795965
-1.325436	51.795827
-1.325286	51.795674
-1.325151	51.795515
-1.325031	51.795364
-1.324924	51.795192
-1.324832	51.795021
-1.324726	51.794849
-1.324576	51.794691
-1.324427	51.794538
-1.324277	51.794398
-1.324142	51.794245
-1.324036	51.794103
-1.323945	51.793974
-1.323912	51.793833
-1.323835	51.793679
-1.323729	51.793539
-1.323652	51.793379
-1.323632	51.793213
-1.323627	51.793053
-1.323608	51.792904
-1.323575	51.792757
-1.323513	51.79261
-1.323421	51.792451
-1.32333	51.792299
-1.323296	51.792145
-1.323277	51.791992
-1.323258	51.791832
-1.323254	51.79168
-1.323249	51.791527
-1.32326	51.791381
-1.323242	51.791253
-1.323166	51.791133
-1.323003	51.79102
-1.322783	51.790914
-1.322475	51.790797
-1.322167	51.790667
-1.321844	51.790531
-1.321551	51.790408
-1.321272	51.790278
-1.321094	51.790114
-1.320915	51.789945
-1.320722	51.78977
-1.320544	51.789601
-1.320394	51.789432
-1.320244	51.789249
-1.320109	51.78906
-1.320031	51.788877
-1.319998	51.788725
-1.320023	51.788591
-1.320107	51.788475
-1.320176	51.788359
-1.320245	51.788243
-1.320299	51.788115
-1.320295	51.787987
-1.320234	51.787848
-1.320098	51.787689
-1.319978	51.787512
-1.3199	51.78734
-1.319822	51.787156
-1.319702	51.786997
-1.319552	51.786821
-1.319416	51.786644
-1.319324	51.786454
-1.319261	51.786264
-1.319242	51.786099
-1.319237	51.785939
-1.319247	51.785779
-1.319199	51.785626
-1.319122	51.785474
-1.318987	51.78531
-1.318838	51.785146
-1.318674	51.784989
-1.31851	51.784825
-1.318375	51.784656
-1.318269	51.784491
-1.31822	51.784314
-1.318172	51.784149
-1.318182	51.783988
-1.318192	51.783841
-1.318188	51.783694
-1.31814	51.783547
-1.318078	51.783394
-1.317972	51.783248
-1.317823	51.783097
-1.317689	51.782958
-1.317554	51.782819
-1.317377	51.782706
-1.317156	51.782588
-1.316936	51.782495
-1.316703	51.782427
-1.316469	51.782385
-1.31628	51.782367
-1.316179	51.782363
-1.316164	51.782356
-1.316192	51.782318
-1.316279	51.782304
-1.316336	51.782286
-1.31641	51.782317
-1.316483	51.782354
