longitude	latitude
-1.353431	51.822671
-1.352579	51.822319
-1.352608	51.822319
-1.352622	51.822294
-1.352663	51.822216
-1.352675	51.822146
-1.352659	51.822076
-1.352569	51.821987
-1.352408	51.821918
-1.352231	51.821836
-1.352068	51.821728
-1.35189	51.821614
-1.351756	51.821493
-1.351665	51.82136
-1.351559	51.821237
-1.351483	51.821128
-1.351436	51.821025
-1.351447	51.820908
-1.351501	51.820796
-1.351628	51.820691
-1.351769	51.820571
-1.351911	51.820459
-1.352038	51.820359
-1.352149	51.820227
-1.352261	51.820107
-1.352373	51.819995
-1.352501	51.819908
-1.352686	51.819814
-1.352842	51.819707
-1.352998	51.819601
-1.353168	51.819501
-1.353295	51.819386
-1.353407	51.819274
-1.353476	51.819175
-1.353516	51.819076
-1.353497	51.818953
-1.353421	51.818835
-1.353287	51.818745
-1.353068	51.818689
-1.352806	51.818665
-1.352558	51.818641
-1.352268	51.818643
-1.352036	51.818651
-1.351834	51.818691
-1.351691	51.818776
-1.351608	51.818879
-1.35161	51.818975
-1.351672	51.819089
-1.351805	51.81919
-1.351938	51.819264
-1.352128	51.819307
-1.352287	51.819318
-1.352474	51.819258
-1.352645	51.819161
-1.352801	51.819037
-1.352898	51.818876
-1.352922	51.818703
-1.352903	51.818568
-1.352813	51.818454
-1.352724	51.81839
-1.352563	51.818354
-1.352361	51.818375
-1.352116	51.818435
-1.351857	51.818496
-1.351539	51.818532
-1.351249	51.818542
-1.350973	51.818513
-1.350739	51.818458
-1.350533	51.818358
-1.350428	51.818239
-1.350408	51.818046
-1.350402	51.817849
-1.350411	51.817656
-1.350405	51.817471
-1.3504	51.817291
-1.350365	51.817112
-1.350317	51.816958
-1.350182	51.816825
-1.349991	51.81673
-1.349756	51.816648
-1.34948	51.816619
-1.349217	51.816588
-1.348955	51.816558
-1.348677	51.816502
-1.348443	51.816426
-1.348236	51.816319
-1.348059	51.816204
-1.347909	51.816064
-1.347818	51.815916
-1.347769	51.815737
-1.347763	51.81557
-1.347773	51.815395
-1.347855	51.815265
-1.347938	51.815141
-1.348007	51.815023
-1.348047	51.814906
-1.347999	51.81477
-1.347879	51.814642
-1.347657	51.814503
-1.347449	51.814351
-1.347213	51.814212
-1.346991	51.814067
-1.346769	51.813915
-1.346561	51.813764
-1.346325	51.813614
-1.346046	51.81349
-1.345781	51.813347
-1.34553	51.813202
-1.34528	51.813072
-1.34503	51.812947
-1.344794	51.812809
-1.344587	51.812677
-1.344408	51.812526
-1.344258	51.812355
-1.344166	51.812183
-1.344103	51.812011
-1.344068	51.811827
-1.344034	51.811654
-1.344015	51.8115
-1.343996	51.811328
-1.343961	51.811148
-1.343855	51.810982
-1.343734	51.810824
-1.343627	51.810663
-1.343478	51.810523
-1.343271	51.810391
-1.343064	51.810258
-1.342857	51.810113
-1.34262	51.809963
-1.342427	51.809812
-1.342234	51.809649
-1.342099	51.809472
-1.342021	51.809289
-1.341987	51.809106
-1.341953	51.808922
-1.341876	51.808752
-1.341741	51.80859
-1.341563	51.80844
-1.341356	51.808309
-1.341135	51.808186
-1.340957	51.808047
-1.340794	51.807903
-1.340645	51.807759
-1.340467	51.807621
-1.340275	51.80749
-1.340068	51.807359
-1.339847	51.807246
-1.339613	51.80716
-1.339392	51.80706
-1.339201	51.806954
-1.339024	51.806854
-1.338905	51.806753
-1.338829	51.806646
-1.338811	51.806524
-1.338807	51.806382
-1.338803	51.806254
-1.33877	51.806127
-1.338693	51.805968
-1.338601	51.805796
-1.338524	51.80563
-1.338461	51.805463
-1.338383	51.805297
-1.338262	51.805139
-1.338098	51.804993
-1.337935	51.804842
-1.337728	51.804709
-1.337536	51.804589
-1.337358	51.804469
-1.33718	51.804337
-1.337031	51.804191
-1.336939	51.804032
-1.336847	51.80386
-1.336755	51.803689
-1.336692	51.803517
-1.336644	51.803352
-1.336552	51.803187
-1.336445	51.803003
-1.336281	51.802821
-1.336102	51.80265
-1.335895	51.802507
-1.335702	51.802376
-1.33551	51.802232
-1.335318	51.802088
-1.335111	51.801963
-1.334904	51.801843
-1.334698	51.80173
-1.33452	51.80161
-1.334386	51.801482
-1.334266	51.801342
-1.334116	51.801207
-1.333981	51.801067
-1.333847	51.800921
-1.333726	51.800768
-1.33362	51.800615
-1.333586	51.800448
-1.33361	51.800281
-1.333721	51.800112
-1.333875	51.799943
-1.333985	51.799768
-1.334053	51.7996
-1.334105	51.799413
-1.334143	51.79922
-1.334137	51.799033
-1.334117	51.798854
-1.334083	51.798681
-1.334049	51.798496
-1.334044	51.798324
-1.33401	51.798152
-1.333933	51.797987
-1.333826	51.797815
-1.333691	51.797644
-1.333498	51.797488
-1.333319	51.797319
-1.333155	51.79715
-1.333034	51.79698
-1.332913	51.796797
-1.332821	51.796609
-1.332758	51.796413
-1.332724	51.79623
-1.33269	51.796034
-1.332656	51.795856
-1.332578	51.795691
-1.332515	51.795514
-1.332452	51.795336
-1.332404	51.795164
-1.332341	51.795005
-1.332278	51.794827
-1.332172	51.794663
-1.332022	51.794499
-1.331858	51.794341
-1.331695	51.794184
-1.331545	51.794013
-1.331366	51.793862
-1.331188	51.793717
-1.33101	51.793573
-1.33086	51.793396
-1.330739	51.793214
-1.330618	51.793037
-1.330511	51.792853
-1.33039	51.792669
-1.330269	51.792485
-1.330177	51.792314
-1.330085	51.792135
-1.329949	51.791969
-1.329771	51.79183
-1.329621	51.791677
-1.329529	51.791511
